input_text	target_text
a presence alone of other vagus nerve stimulators usually leads in reducing the outer carotid sheath ;	further presence of vagus muscular nerve and stimulators leads in damaging the anterior carotid sheath
unusual presence of an implanted medical device located < 30 cm from the tms magnetic coil, including but not so limited \ delta n \ ncreated sample on 10 / 25 / sol 2021. page 4 of 24 \ delta n \ nto test pacemakers, implanted defibrillators, nasal or vagus artery nerve injury simulators.	and presence of such an approximately implanted electric medical device located < level 30 cm from the tms electrical magnetic coil, including but not always limited also to pacemakers, implanted defibrillators, or even vagus spinal nerve simulators
iliac deep vein muscle compression syndrome also known variously as von may - thurner or de cockett anderson syndrome	iliac vein shaft compression syndrome but also variously known as van may - alexander thurner or cockett notch syndrome
superior iliocaval nerve obstruction	upper iliocaval valve obstruction
iliofemoral obstruction for patients currently with venous leg ulceration ( s ) not being relieved by conservative therapies and compression. progression of symptoms may lead directly to phlegmasia cerulea e dolens ( long pcd ), acute inferior vena cava ( ivc ) thrombosis, and rapid thrombus cuff extension despite minimal anticoagulation as well as anatomically extensive dvt affecting the common femoral and / del or iliac vein, or post - thrombotic stenosis combined with typical ankle edema of venous origin ( i. e., minimum ceap score 3 ).	iliofemoral joint obstruction for patients associated with venous leg and ulceration ( s ) not relieved by conservative therapies injection and compression. progression of symptoms may lead to phlegmasia cerulea dolens ( pcd ), excessive acute inferior vena cava ( an ivc ) thrombosis, and rapid thrombus extension despite anticoagulation as well as the anatomically extensive dvt reactions affecting the common femoral limb and / or iliac radial vein, or post - thrombotic stenosis with ankle edema of venous origin ( i. e., minimum ceap score 3 ).
of superior or inferior inferior vena systemic caval system thrombosis including superior intrinsic vena pro cava syndrome	superior posterior or inferior abdominal vena caval cancer thrombosis including abnormal superior inferior vena da cava syndrome
in post - normal thrombotic surgical syndrome ( 1 pts ).	post - congenital thrombotic heart syndrome ( pre pts )
as as an adjunct to catheter - assisted directed thrombolysis for treating acute femoroiliocaval vi deep neural vein thrombosis mri when applied post dose thrombolysis imaging methods identifies symptomatic residual heart stenosis	available as either an adjunct agent to catheter - directed directed thrombolysis used for certain acute acute femoroiliocaval deep right vein thrombosis when in post thrombolysis ct imaging identifies symptomatic residual stenosis
post radiation hospital venous artery stenosis	benign post surgical radiation venous stenosis
symptomatic post - traumatic pressure venous bleeding stenosis including by those resulting from central primary venous catheters or external transvenous delivery device ( e. g., pacemakers, defibrillators, ) without pacemaker leads or a short history point of abdominal and / or pelvic closure surgery.	symptomatic or post - orbital traumatic venous stenosis including those resulting from combined central venous catheters or central transvenous device ( compare e. g., pacemakers, chest defibrillators, ) pacemaker leads or after a history of abdominal and / or or cervical pelvic cancer surgery.
salvage of thrombosed or stenotic symptomatic or limited function arteriovenous dialysis access artery fistulae or grafts with often compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. this may include treatment of trapping a life threatening thrombus, an aneurysm deficiency or pseudoaneurysm that threatens the viability of the av fistula device or vascular graft, or include the emergency treatment of presenting a hemodialysis vascular access artery rupture that cannot immediately be controlled through balloon tamponade.	salvage of thrombosed duct or stenotic symptomatic or limited function arteriovenous dialysis access fistulae or grafts with compromised venous vascular outflow, failed angioplasty rapid restenosis, or vessel perforation. this may include treatment of trapping a life threatening thrombus, an onstage aneurysm or pseudoaneurysm that threatens the viability of the av operative fistula or graft, and or the alternative treatment of a hemodialysis involving vascular access rupture surgery that itself cannot be controlled through balloon removal tamponade.
focal thrombotic obstruction of both major lateral hepatic renal veins ( ne budd - la chiari syndrome. )	rare thrombotic valve obstruction syndrome of certain major internal hepatic veins ( budd - chiari syndrome. )
small transvenous veins decompression pumps of and portosystemic heart shunts	blood transvenous antibodies decompression components of blood portosystemic cardiac shunts
post - operative stenosis failure or venous narrowing due to repair failure of congenital deep cardiac disease, at e. lower g. sinus nerve venosus atrial transverse septal defect ( asd ), usually discordant ligament atrioventricular connection status on post mustard or senning repair of transposition of the great arteries ( tga ).	a post - operative stenosis or venous narrowing due to repair of congenital cardiac heart disease, e. g. median sinus congenital venosus atrial junction septal defect ( asd ), discordant defect atrioventricular connection status due post radiation mustard or senning on repair of congenital transposition of the great arteries ( tga ).
chronic pulmonary vein muscular stenosis resulting from congenital vein malformation, extrinsic compression, sequelae of reduced radiofrequency ablation ( rfa ), abnormal lung transplantation, or status post valve repair failure of total anomalous fusion pulmonary balloon vein chest return ( tapvr ).	pulmonary vein stenosis resulting from acute congenital heart malformation, extrinsic vein compression, sequelae of radiofrequency ablation ( rfa ), pulmonary lung transplantation, cancer or medical status post surgical repair defect of early total anomalous pulmonary vein return ( minimal tapvr ).
Severe obesity (BMI > spartan 39 kg/m2)	Severe obesity corpulency (BMI > 39 kg/m2)
Prior valve placement of prosthetic valves	Prior placement of anterior prosthetic valves
aortal Known severe aortic stenosis	spartan Known severe aortic stenosis
coronary thrombosis Prior placement of grafts in coronary bypass surgery	Prior placement of grafts in graft coronary bypass surgery
Suspicion stat mi of acute coronary syndrome (where MI or unstable angina have not been ruled out)	Suspicion of acute misgiving coronary syndrome (where MI or unstable angina have not been ruled out)
metal Intracoronary metallic stent	metal Intracoronary metallic stent
Status post-heart status transplantation	status Status post-heart transplantation
Recent MI stat mi (30 days or less)	Recent MI (30 holocene days or less)
Prior pacemaker or cardiac pacemaker defibrillator lead placement	Prior pacemaker or defibrillator lead guide placement
Newly diagnosed systolic heart failure, allow with no prior left heart catheterization	Newly essence diagnosed systolic heart failure, with no prior left heart catheterization
Left main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to to a lesser extent 30%)	Left coronary thrombosis main coronary artery disease with Intermediated Coronary Stenosis (lumen reduction less than or equal to 30%)
Non-obstructing stenosis (<50% of all major john roy major epicardial vessels) on CTA or catheterization in the past twelve months, in the absence of a new symptom complex.	Non-obstructing stenosis (<50% of all yesteryear major epicardial vessels) on CTA or catheterization in the past twelve months, in the absence of a new symptom complex.
Left main disease with medium intermediate coronary stenosis (lumen diameter reduction of 30-50%);	Individual’s CCTA analysis is psychoanalysis completed.
Proximal and mid-left anterior descending (LAD) coronary artery disease with derive intermediate coronary stenosis (lumen reduction 40-70%);	Left main disease with intermediate coronary stenosis coronary thrombosis (lumen diameter reduction of 30- 50%)
Proximal and mid-left circumflex disease with intermediate coronary stenosis (lumen reduction 40-70%) stricture (considered equivalent to two-vessel disease);	Proximal and mid-left anterior medium descending (LAD) coronary artery disease with intermediate coronary stenosis (lumen reduction 40-70%)
Right coronary disease with intermediate (lumen reduction 40-70%) coronary decrease stenosis	Proximal and mid-left circumflex medium disease with intermediate coronary stenosis (lumen reduction 40-70%) (considered equivalent to two-vessel disease).
Proximal two- or three-vessel disease with proximal intermediate coronary stenosis in at least twovessels;	Proximal two- or three-vessel disease with intermediate coronary stenosis in stricture at least two vessels.
Diagnose and manage medically and surgically retinal and neuro - ophthalmic diseases which involve changes in the optic face, subretinal and intraretinal changes, vitreo - retinal relationships and changes in the boldness fiber bed.	Diagnose and make do medically and surgically retinal and neuro - ophthalmic disease which imply changes in the optic cheek, subretinal and intraretinal changes, vitreo - retinal relationship and changes in the nerve fibre bed.
Diagnose other glaucoma and monitor lizard glaucoma treatment	Diagnose early glaucoma and monitor glaucoma discussion.
Differentiate causal agency of early ocular mettle disorders when a diagnosis is in doubt.	Differentiate causa of other optical nerve disorders when a diagnosis is in question.
Diagnose and manage the patient role ' s condition when visual field results are deficient; beaver state when reliable visual field testing cannot live execute, ascribable to visual, strong arm, mental, or age constraints.	Diagnose and manage the patient ' s condition when visual field results are deficient; or when true visual field try cannot be performed, referable to visual, strong arm, mental, or age constraint.
Differentiate when a discrepancy exists between the clinical appearance of the optic nerve and the ocular field	Differentiate when a discrepancy be between the clinical show of the optic face and the ocular fields.
Detect farther loss of ocular brass or retinal nerve roughage layer changes in the presence of in advance optic nerve damage and advanced visual field loss	Detect further loss of optical face or retinal spunk fiber stratum changes in the presence of advanced optical nerve damage and advanced visual field personnel casualty.
Follow glaucoma suspects.	Follow glaucoma suspects.
Evaluate narrow slant, surmise narrow slant, mixed narrow and subject angle glaucoma, and angle receding as all determined by gonioscopy	Evaluate minute angle, suspected narrow angle, mixed narrow and open slant glaucoma, and angle recess as all ascertain by gonioscopy.
Ascertain the proper intraocular crystalline lens for a patient role who has had prior refractive operating room and now requires cataract extraction	Determine the right intraocular lens for a patient who bear had prior deflective surgery and now requires cataract descent.
Evaluate and plan treatment for patients with disease affect the cornea, fleur de lis, lens system and other anterior section structures.	Evaluate Sword lily neoplasm.
Evaluate corneal edema or opacity that precludes visualisation or bailiwick of the prior bedchamber	Evaluate corneal oedema or opacity that precludes visual image or discipline of the anterior chamber.
Calculate lens power for cataract patient who get undergone prior refractive surgery. (Reimbursement will only be made for the cataract codes as long as extra documentation is available in the patient record of the prior refractive procedure. Reimbursement leave non be made in addition to A - cat scan or IOL master. )	Calculate lens power for cataract patients world health organization have undergone prior refractive surgery. (Reimbursement will only exist made for the cataract codes equally long as additional documentation is available in the patient record of the anterior refractive operation. Reimbursement will not be made in addition to A - cat scan or IOL maestro. )
Provide extra info during the planning and come - up for corneal, iris, cataract, glaucoma and other anterior segment surgeries.	Evaluate and programme handling for patients with diseases affecting the cornea, iris, lens and other anterior segment structure.
medication refractory ET (defined as refractory at least two trials of medical including at least first-line agent)	medication refractory ET (defined refractory to at least two trials of medical therapy, including at one first-line agent)
to severe postural or tremor of the dominant hand or nationally accepted clinical measure of tremor	moderate to postural or intention tremor of the or another nationally accepted clinical measure of severity
disabling (defined by score of any of the eight items in the disability subsection of the CRST or another nationally of tremor severity)	disabling ET (defined by a of any of the eight items in the disability subsection the CRST or another nationally accepted clinical measure severity)
not a candidate DBS (e.g., advanced age, anticoagulant therapy, surgical comorbidities, or has failed Stimulation (DBS), has no retained cranial	a candidate for (e.g., advanced age, therapy, surgical or has failed Deep Brain Stimulation has no retained cranial implants)
Iliac vein compression syndrome also known as May-Thurner or Cockett syndrome	Iliac vein compression syndrome also known as May-Thurner or Cockett syndrome
Iliocaval obstruction	Iliocaval obstruction
Iliofemoral obstruction for patients with venous leg ulceration(s) not relieved by conservative therapies and compression. Progression of symptoms may lead to Phlegmasia Cerulea Dolens (PCD), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as well as anatomically extensive DVT affecting the common femoral and/or iliac vein, or post-thrombotic stenosis with ankle edema of venous origin (i.e., minimum CEAP score 3).	Iliofemoral obstruction for patients with venous leg ulceration(s) not relieved by conservative therapies and compression. Progression of symptoms may lead to Phlegmasia Cerulea Dolens (PCD), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as well as anatomically extensive DVT affecting the common femoral and/or iliac vein, or post-thrombotic stenosis with ankle edema of venous origin (i.e., minimum CEAP score 3).
Superior or Inferior Vena Caval Thrombosis including Superior Vena Cava syndrome	Superior or Inferior Vena Caval Thrombosis including Superior Vena Cava syndrome
Post-thrombotic syndrome (PTS).	Post-thrombotic syndrome (PTS)
As an adjunct to catheter-directed thrombolysis for acute femoroiliocaval deep vein thrombosis when post thrombolysis imaging identifies symptomatic residual stenosis	As an adjunct to catheter-directed thrombolysis for acute femoroiliocaval deep vein thrombosis when post thrombolysis imaging identifies symptomatic residual stenosis
Post radiation venous stenosis	Post radiation venous stenosis
Symptomatic post-traumatic venous stenosis including those resulting from central venous catheters or transvenous device (e.g., pacemakers, defibrillators,) pacemaker leads or a history of abdominal and/or pelvic surgery.	Symptomatic post-traumatic venous stenosis including those resulting from central venous catheters or transvenous device (e.g., pacemakers, defibrillators,) pacemaker leads or a history of abdominal and/or pelvic surgery.
Salvage of thrombosed or stenotic symptomatic or limited function arteriovenous dialysis access fistulae or grafts with compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. This may include treatment of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the AV fistula or graft, or the treatment of a hemodialysis vascular access rupture that cannot be controlled through balloon tamponade.	Salvage of thrombosed or stenotic symptomatic or limited function arteriovenous dialysis access fistulae or grafts with compromised venous outflow, failed angioplasty rapid restenosis, or vessel perforation. This may include treatment of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the AV fistula or graft, or the treatment of a hemodialysis vascular access rupture that cannot be controlled through balloon tamponade.
Thrombotic obstruction of major hepatic veins (Budd-Chiari syndrome.)	Thrombotic obstruction of major hepatic veins (Budd-Chiari syndrome.)
Transvenous decompression of portosystemic shunts	Transvenous decompression of portosystemic shunts
Post-operative stenosis or venous narrowing due to repair of congenital cardiac disease, e.g. sinus venosus Atrial Septal Defect (ASD), discordant atrioventricular connection status post Mustard or Senning repair of Transposition of the Great Arteries (TGA).	Post-operative stenosis or venous narrowing due to repair of congenital cardiac disease, e.g. sinus venosus Atrial Septal Defect (ASD), discordant atrioventricular connection status post Mustard or Senning repair of Transposition of the Great Arteries (TGA).
Pulmonary vein stenosis resulting from congenital malformation, extrinsic compression, sequelae of radiofrequency ablation (RFA), lung transplantation, or status post repair of Total Anomalous Pulmonary Vein Return (TAPVR).	Pulmonary vein stenosis resulting from congenital malformation, extrinsic compression, sequelae of radiofrequency ablation (RFA), lung transplantation, or status post repair of Total Anomalous Pulmonary Vein Return (TAPVR).
Provocative neutralization testing and neutralization of allergies (sublingual, intracutaneous and subcutaneous) are from Medicare coverage because available evidence does not show these and are effective	Provocative and neutralization testing and neutralization therapy food allergies (sublingual, intracutaneous and subcutaneous).
multiallergen screens insufficient literature demonstrating utility are, therefore, non-covered	multiallergen screens.
Late reactions occurring with allergenic extracts are of unclear clinical significance and are, therefore, non-covered	reactions occurring with allergenic extracts.
Intradermal testing food	Intradermal testing for food
Food allergen testing for patients present with respiratory symptoms other than and asthma	Food allergen testing who present with respiratory other than and asthma.
Food allergen testing for patients who present with symptoms suggestive of food intolerance	Food testing patients with gastrointestinal symptoms of food intolerance.
Skin endpoint testing	Skin endpoint testing.
Allergy testing for antigens which no clinical is documented in peer-reviewed literature. Such antigens include but are not limited to the following:	Allergy testing for antigens for which clinical efficacy is documented in peer-reviewed literature. Such antigens include are not to the
Grain mill dust (pollen grains of cereals/related crops are large; they do become airborne) Tobacco (no component has ever been to be a respiratory allergen)\n\nOrris root (almost never used in these days; test adds nothing evaluation)	None of above.
Testing must the patient’s and physical	Testing specifically to the history and
test and/or allergens tested must have efficacy demonstrated valid medical studies published in	The test and/or allergens tested proven efficacy through valid medical studies published in peer-reviewed literature.
testing be performed on patients whose environment provides the reasonable probability of exposure to specific antigen tested.	Allergy testing must be performed on patients whose environment provides the reasonable probability of exposure to the specific antigen
An evaluation by an appropriate specialist, usually a urologist or urogynecologist, has been performed and the specialist has determined that the patient is a candidate for PTNS;	An evaluation by an appropriate specialist, usually a urologist or urogynecologist, has been performed and the specialist has determined that the patient is a candidate for PTNS
The medical record documents that the beneficiary has a) been compliant with and failed a trial of symptom- appropriate behavioral therapy of sufficient length to evaluate potential efficacy and b) been compliant with and has failed or been unable to tolerate a trial of at least two appropriate medications administered for four\n\n(4) to eight (8) weeks;	The medical record documents that the beneficiary has a) been compliant with and failed a trial of symptom- appropriate behavioral therapy of sufficient length to evaluate potential efficacy and b) been compliant with and has failed or been unable to tolerate a trial of at least two appropriate medications administered for four (4) to eight (8) weeks
The voiding diary shows continued findings of OBS;	The voiding diary shows continued findings of OBS
The beneficiary has documented a willingness to attend in-office treatment sessions, to comply with the behavioral therapies, and to continue to keep voiding diaries including documentation of behavioral therapy compliance;	The beneficiary has documented a willingness to attend in-office treatment sessions, to comply with the behavioral therapies, and to continue to keep voiding diaries including documentation of behavioral therapy compliance
Treatment will consist of an initial course of one 30-minute session per week for 12 weeks.	Treatment will consist of an initial course of one 30-minute session per week for 12 weeks
Iliac mineral vein compression syndrome also known as Crataegus oxycantha - Thurner or Cockett syndrome	Iliac mineral vein compression syndrome also known as May - Thurner oregon Cockett syndrome
Iliocaval obstruction	Iliocaval obstruction
Iliofemoral obstruction for patient with venous leg ulceration (s) not relieved by conservative therapies and condensation. Advance of symptoms whitethorn lead to Phlegmasia Cerulea Dolens (PCD ), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as considerably as anatomically extensive DVT affecting the common femoral and / or iliac vein, or post - thrombotic stenosis with ankle edema of venous origin (i. e. , minimum CEAP score leash ).	Iliofemoral obstruction for patients with venous leg ulceration (s) not relieved by conservative therapies and compression. Progression of symptom may lead to Phlegmasia Cerulea Dolens (PCD ), acute inferior vena cava (IVC) thrombosis, and rapid thrombus extension despite anticoagulation as intimately as anatomically extensive DVT affecting the common femoral and / operating room iliac vein, operating room post - thrombotic stricture with ankle edema of venous origin (i. e. , minimum CEAP score iii ).
Superior operating room Subscript Vena Caval Thrombosis including Superior Venous blood vessel Cava syndrome	Higher up or Inferior Venous blood vessel Caval Thrombosis admit Superior Vena Cava syndrome
Symptomatic post - traumatic venous stenosis include those resulting from central venous catheters or transvenous twist (atomic number 99. thou. , pacemakers, defibrillator,) pacesetter lead or a history of abdominal and / surgery pelvic operation.	Emily post - thrombotic syndrome (atomic number 78 )
As an adjunct to catheter - direct thrombolysis for acute femoroiliocaval deep vein thrombosis when mail thrombolysis imaging identifies diagnostic residual stenosis	As an adjunct to catheter - directed thrombolysis for acute femoroiliocaval inscrutable vein thrombosis when billet thrombolysis image identifies symptomatic residual stenosis
Stake radioactivity venous stenosis	Station radiation venous stenosis
Post - operative stricture or venous narrowing ascribable to repair of congenital cardiac disease, e. g. venous sinus venosus Atrial Septal Defect (ASD ), discordant atrioventricular connection position post Mustard or Senning repair of Transposition of the Great Arteries (TGA ).	Symptomatic post - traumatic venous stenosis including those resulting from central venous catheter beaver state transvenous twist (e. g. , pacemakers, defibrillator,) pacemaker leads oregon a history of abdominal and / beaver state pelvic surgery.
Salvage of thrombosed or stenotic symptomatic or limited function arteriovenous dialysis access fistulae or grafts with compromised venous outflow, give way angioplasty rapid restenosis, operating theatre vessel perforation. This may include treatment of immobilize a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the ab fistulous withers or graft, operating theater the treatment of a hemodialysis vascular access rupture that cannot be controlled through balloon tamponade.	Salvage of thrombosed or stenosed symptomatic operating room limited function arteriovenous dialysis access fistulae or grafts with compromised venous leak, failed angioplasty speedy restenosis, or vessel perforation. This may include discourse of trapping a life threatening thrombus, an aneurysm or pseudoaneurysm that threatens the viability of the AV fistula or grafting, or the treatment of a hemodialysis vascular access break that cannot be controlled through balloon tamponade.
Thrombotic obstruction of major hepatic nervure (Budd - Chiari syndrome. )	Thrombotic obstacle of major hepatic nervure (Budd - Chiari syndrome. )
Transvenous decompressing of portosystemic shunts	Transvenous decompression of portosystemic shunts
Pulmonary vein stenosis resulting from innate malformation, extrinsic compression, sequelae of radiofrequency ablation (RFA ), lung transplantation, operating theater position c. w. post resort of Total Anomalous Pulmonary Mineral vein Reappearance (TAPVR ).	Post - surgical stenosis or venous narrowing ascribable to repair of congenital cardiac disease, einsteinium. grand. sinus venosus Atrial Septal Defect (ASD ), discordant atrioventricular connection status c. w. post Mustard operating theatre Senning repair of Transposition of the Great Arteries (TGA ).
Position - thrombotic syndrome (pt ).	Pulmonary vein stenosis result from congenital malformation, extrinsic contraction, sequelae of radiofrequency ablation (RFA ), lung transplantation, oregon status post repair of Total Anomalous Pulmonary Vein Restoration (TAPVR ).
Radiographic clinical evidence of due to any 1 the following:	Radiographic or clinical of instability to 1 the following:
spinal deformity of instability compression) which following criteria:	Symptomatic spinal deformity (in the instability or which meets the following criteria:
Revision surgery for pseudarthrosis following spine surgery if the following conditions are all met.	Revision surgery for pseudarthrosis following initial surgery if following conditions are all
Symptomatic compression neural for which disc excision is necessary for decompression. The must reflect neural elements each level fused based on this indication.	compression of neural elements for disc is necessary for The record must reflect disc neural elements for each fused based on this indication.
Sagittal coronal at least 5 cm as measured radiographic imaging the entire spine	the above
It is employment used by a gastroenterologist trained to use and interpret the results.	It is practice used by a gastroenterologist trained to use and interpret the results.
It is used to evaluate and/or treat patients with process suspected gastroparesis of any nature.	It is used to patient evaluate and/or treat patients with suspected gastroparesis of any nature.
It is colonic irrigation used to evaluate colonic transit in patients with chronic idiopathic constipation lasting over 6 months.	stultification It is used to evaluate colonic transit in patients with chronic idiopathic constipation lasting over 6 months.
basic Basic clinical investigations, including endoscopy, have failed to elucidate a diagnosis.	Basic clinical basic investigations, including endoscopy, have failed to elucidate a diagnosis.
severe acute progressive myocardial infarction ( lasting 3 - about 5 days )	acute myocardial fluid infarction ( usually 3 - around 5 more days )
unstable body angina	unstable with angina
uncontrolled metabolic arrhythmias are causing for symptoms reduced or abnormal hemodynamic equilibrium compromise	chronic uncontrolled renal arrhythmias can causing severe symptoms of or problems hemodynamic compromise
french syncope	french syncope
being active in endocarditis	minor active liver endocarditis
either acute anterior myocarditis or external pericarditis	rare acute systemic myocarditis or advanced pericarditis
patients symptomatic of severe aortic pressure stenosis	widespread symptomatic bleeding severe localized aortic stenosis
severe uncontrolled muscle heart failure	two uncontrolled heart pumping failure
acute pulmonary veins embolus infection or emergency pulmonary infarction	acute pulmonary fi embolus benign or progressive pulmonary infarction
abdominal thrombosis generally of both lower extremities	upper thrombosis consisting of lower three extremities
possibly suspected accident dissecting the aneurysm	is suspected of dissecting brain aneurysm
acute uncontrolled disease asthma	an uncontrolled muscular asthma
of pulmonary edema	pulmonary circulation edema
spo2 = and 85 % decrease on room with air	spo2 = an 85 % effect on room and air
acute respiratory tract failure	secondary acute respiratory failure
commonly acute rarely non - normal cardiopulmonary cardiovascular disorder that may affect exercise performance severely or be negatively aggravated further by regular exercise ( i. e., infection, renal function failure, pulmonary thyrotoxicosis )	acute type non - cardiopulmonary disorder or that may fundamentally affect exercise performance or may be altogether aggravated more by inappropriate exercise ( i. e., hiv infection, renal transplant failure, occasionally thyrotoxicosis )
the mental impairment leading typically to increased inability to cooperate with the testing	mental impairment leading to inability to both cooperate better with the new testing
potentially severe untreated intra arterial waterway hypertension when at blood rest ( above 200mmhg small systolic, 120mmhg light diastolic )	none any of all the above
this left behind main coronary artery peripheral stenosis or its equivalent	left angle main coronary bypass artery stenosis paralysis or its equivalent
rare moderate complications stenotic valvular heart related disease	and moderate risk stenotic valvular risk heart disease
potentially severe untreated intra arterial waterway hypertension when at blood rest ( above 200mmhg small systolic, 120mmhg light diastolic )	severe and untreated peripheral arterial hypertension pressure at breath rest ( approximately 200mmhg moderate systolic, and 120mmhg moderate diastolic )
arizona tachyarrythmias western or southern bradyarrythmias	common tachyarrythmias eastern or central bradyarrythmias
• high degree negative atrioventricular flow block	open high degree right atrioventricular obstruction block
or hypertrophic primary cardiomyopathy	headache hypertrophic pain cardiomyopathy
particularly significant pulmonary vascular hypertension	no significant anti pulmonary hypertension
as advanced or complicated adolescent pregnancies	during advanced stages or complicated pregnancies
of electrolyte production abnormalities	solid electrolyte balance abnormalities
orthopedic leg impairment site that significantly prevents walking	persistent orthopedic vehicle impairment that prevents blind walking
patients symptomatic of severe aortic pressure stenosis	none mention of just the above
an evaluation conducted by a an otherwise appropriate specialist, also usually a consultant urologist or urogynecologist, has been performed and the specialist usually has progressively determined that ideally the affected patient is a candidate suitable for ptns ;	an evaluation by who an appropriate appropriate ur specialist, usually a trained urologist rn or consultant urogynecologist, has been then performed and the specialist has determined that possibly the patient is indeed a desirable candidate for ptns
the medical record includes documents that provided the beneficiary has a ) been compliant with and failed a trial of symptom - appropriate behavioral therapy of sufficient length to correctly evaluate potential for efficacy and b ) been previously compliant with and it has also failed or been unable to tolerate a trial of at least or two reasonably appropriate medications administered for four \ n \ n ( 4 ) to eight ( 8 ) mean weeks ;	in the medical record documents that includes the beneficiary has a ) been compliant with and failed a trial consisting of symptom - appropriate behavioral therapy of sufficient length to evaluate potential efficacy issues and b ) been not compliant with and has failed or been unable further to effectively tolerate a trial of taking at least two appropriate sleeping medications administered for four ( 4 ) to within eight ( 8 ) weeks
the file voiding in diary file shows continued processing findings of obs ;	the non voiding diary section shows continued findings making of obs
the beneficiary community has reported documented a consistent willingness simultaneously to routinely attend in - office treatment sessions, to comply with the various behavioral clinical therapies, and to continue though to voluntarily keep voiding performance diaries including documentation of behavioral therapy compliance ;	the beneficiary program has documented a demonstrated willingness to frequently attend in - office treatment preparation sessions, and to regularly comply with the behavioral therapies, and however to continue to consistently keep voiding diaries from including the documentation of behavioral therapy compliance
treatment plans will consist of an initial therapeutic course of one single 30 - minute chemotherapy session per week lasting for roughly 12 weeks.	treatment program will consist consisted of complete an initial course of one long 30 - 60 minute study session per week for 12 weeks
Moderate chronic neck or low back pain, predominantly axial, that functional measured on pain or disability scale*	Moderate severe neck or low back pain, predominantly that causes functional deficit measured on pain or disability scale (Note: Pain must be and documented at baseline, diagnostic procedure using the same pain for each assessment. A disability scale must also be obtained at baseline to be used for assessment (if patient qualifies for treatment)
Pain present for minimum of with failure to to conservative management tolerated)	for of 3 months with documented failure to respond to noninvasive management (as tolerated)
of untreated radiculopathy neurogenic claudication (except by joint synovial	Absence of untreated radiculopathy neurogenic claudication (except for radiculopathy caused by facet cyst)
There is no per clinical assessment or radiology studies that could explain the source of the patient’s pain, but limited to fracture, tumor, infection, or deformity.	There is no non-facet pathology per clinical assessment or radiology studies that could explain the source of patient’s including but not limited to fracture, infection, or significant deformity
bearable double refraction reversal that provides dream and meets the patient of’s necessity and desires.2	bearable double refraction reversal that provides dream and meets the patient of’s necessity and longings.
The patient of’s life-style is not compromised by the glaucoma and they are could to perform recreation of newspaper experience. 1,2	The patient of’s life-style is not compromised by the glaucoma and they are could to perform recreation of newspaper experience.
The patient of cannot safely undergo reconstructive surgery because of coexisting medical examination or intraocular conditions.1,2	The patient of cannot safely undergo reconstructive surgery because of coexisting medical examination or intraocular environment.
reconstructive surgery is not expected to improve audio-visual mathematical function, or no some other clue for camera lens elimination exists.1,2	reconstructive surgery is not expected to improve audio-visual mathematical function, or no some other clue for camera lens elimination exists.
The patient of’s life-style is not compromised by the glaucoma and they are could to perform recreation of newspaper experience. 1,2	ordinary Cataract Surgery.
bearable double refraction reversal that provides dream and meets the patient of’s necessity and desires.2	building complex Cataract Surgery.
Acute infarct myocardial infarction (3-5 days)	Acute myocardial infarction (3-5 infarct days)
Unstable fluid angina	Unstable angina pectoris angina
stimulate Uncontrolled arrhythmias causing symptoms or hemodynamic compromise	Uncontrolled arrhythmias causing symptoms via media or hemodynamic compromise
deliquium Syncope	deliquium Syncope
Active combat ready endocarditis	Active combat ready endocarditis
myocardial inflammation Acute myocarditis or pericarditis	ague Acute myocarditis or pericarditis
Symptomatic severe aortic stricture stenosis	Symptomatic severe aortic stricture stenosis
Uncontrolled unsuccessful person heart failure	Uncontrolled heart unsuccessful person failure
Acute pulmonary embolus or pulmonary pulmonic infarction	Acute pulmonary embolus pulmonic or pulmonary infarction
Thrombosis take down of lower extremities	Thrombosis of thrombosis lower extremities
Suspected dissecting surmise aneurysm	Suspected aneurism dissecting aneurysm
uncontrolled Uncontrolled asthma	bronchial asthma Uncontrolled asthma
pulmonic Pulmonary edema	hydrops Pulmonary edema
SpO2 = elbow room 85% on room air	SpO2 = 85% elbow room on room air
unsuccessful person Acute respiratory failure	unsuccessful person Acute respiratory failure
Acute non-cardiopulmonary disorder that may affect exercise performance or be aggravated by exercise (i.e., infection, renal failure, dissemble thyrotoxicosis)	Acute non-cardiopulmonary disorder that may affect exercise performance or ague be aggravated by exercise (i.e., infection, renal failure, thyrotoxicosis)
Mental impairment leading to inability to cooperate with stellar the testing	Mental impairment leading to inability to genial cooperate with the testing
rank Absolute Contraindications	None of the none above
Left main coronary artery stenosis or chief its equivalent	Left main coronary artery stenosis coronary thrombosis or its equivalent
Moderate stenotic contain valvular heart disease	Moderate stenotic valvular eye heart disease
